name,latitude,longitude,floor,timeStamp,type
42,31.233056,121.382084,-2,"[16, 38, 42]",R
43,31.2330560001,121.382084,-2,"[16, 38, 43]",R
44,31.2330560001,121.382084,-2,"[16, 38, 44]",R
45,31.233056,121.382084,-2,"[16, 38, 45]",R
46,31.233056,121.382084,-2,"[16, 38, 46]",R
47,31.233056,121.382084,-2,"[16, 38, 47]",R
48,31.2330560001,121.382084,-2,"[16, 38, 48]",R
49,31.2330560018,121.382083996,-2,"[16, 38, 49]",R
50,31.2330560016,121.382083999,-2,"[16, 38, 51]",R
51,31.2330560016,121.382083999,-2,"[16, 38, 52]",R
52,31.2330560001,121.382084,-2,"[16, 38, 53]",R
53,31.2330560001,121.382084,-2,"[16, 38, 54]",R
54,31.2330560005,121.382084,-2,"[16, 38, 55]",R
55,31.2330560005,121.382084,-2,"[16, 38, 56]",R
56,31.2330560005,121.382084,-2,"[16, 38, 57]",R
57,31.2330560004,121.382084,-2,"[16, 38, 58]",R
58,31.2330560004,121.382084,-2,"[16, 38, 59]",R
59,31.2330560004,121.382084,-2,"[16, 39, 1]",R
60,31.2330560004,121.382084,-2,"[16, 39, 2]",R
61,31.2330560011,121.382084,-2,"[16, 39, 3]",R
62,31.2330560002,121.382084,-2,"[16, 39, 4]",R
63,31.233056,121.382084,-2,"[16, 39, 5]",R
64,31.233056,121.382084,-2,"[16, 39, 6]",R
65,31.233056,121.382084,-2,"[16, 39, 7]",R
66,31.233056,121.382084,-2,"[16, 39, 8]",R
67,31.233056,121.382084,-2,"[16, 39, 10]",R
68,31.233056,121.382084,-2,"[16, 39, 11]",R
69,31.233056,121.382084,-2,"[16, 39, 12]",R
70,31.233056,121.382084,-2,"[16, 39, 13]",R
71,31.2330560001,121.382084,-2,"[16, 39, 14]",R
72,31.2330560001,121.382084,-2,"[16, 39, 15]",R
73,31.2330560001,121.382084,-2,"[16, 39, 16]",R
74,31.2330560001,121.382084,-2,"[16, 39, 17]",R
75,31.2330560001,121.382084,-2,"[16, 39, 19]",R
76,31.2330560001,121.382084,-2,"[16, 39, 20]",R
77,31.2330560001,121.382084,-2,"[16, 39, 21]",R
78,31.2330560001,121.382084,-2,"[16, 39, 22]",R
79,31.2330560005,121.382084,-2,"[16, 39, 23]",R
80,31.233056,121.382084,-2,"[16, 39, 24]",R
81,31.233056,121.382084,-2,"[16, 39, 25]",R
82,31.233056,121.382084,-2,"[16, 39, 28]",R
83,31.233056,121.382084,-2,"[16, 39, 29]",R
84,31.233056,121.382084,-2,"[16, 39, 30]",R
85,31.233056,121.382084,-2,"[16, 39, 31]",R
86,31.233056,121.382084,-2,"[16, 39, 32]",R
87,31.233056,121.382084,-2,"[16, 39, 33]",R
88,31.233056,121.382084,-2,"[16, 39, 34]",R
89,31.233056,121.382084,-2,"[16, 39, 35]",R
90,31.233056,121.382084,-2,"[16, 39, 36]",R
91,31.233056,121.382084,-2,"[16, 39, 38]",R
92,31.233056,121.382084,-2,"[16, 39, 39]",R
93,31.2330560001,121.382084,-2,"[16, 39, 40]",R
94,31.2330560001,121.382084,-2,"[16, 39, 41]",R
95,31.233056,121.382084,-2,"[16, 39, 42]",R
96,31.233056,121.382084,-2,"[16, 39, 43]",R
97,31.233056,121.382084,-2,"[16, 39, 44]",R
98,31.233056,121.382084,-2,"[16, 39, 45]",R
99,31.233056,121.382084,-2,"[16, 39, 47]",R
100,31.233056,121.382084,-2,"[16, 39, 48]",R
101,31.233056,121.382084,-2,"[16, 39, 49]",R
102,31.233056,121.382084,-2,"[16, 39, 50]",R
103,31.233056,121.382084,-2,"[16, 39, 51]",R
104,31.233056,121.382084,-2,"[16, 39, 52]",R
105,31.233056,121.382084,-2,"[16, 39, 53]",R
106,31.233056,121.382084,-2,"[16, 39, 54]",R
107,31.233056,121.382084,-2,"[16, 39, 56]",R
108,31.233056,121.382084,-2,"[16, 39, 57]",R
109,31.233056,121.382084,-2,"[16, 39, 58]",R
110,31.233056,121.382084,-2,"[16, 39, 59]",R
